nuclide,z,n,element,radius,radius_uncert,abundance,abundance_uncert,is_stable,half_life,half_life_uncert,isospin,decay_1,decay_1_pct,decay_1_pct_uncert,decay_2,decay_2_pct,decay_2_pct_uncert,decay_3,decay_3_pct,decay_3_pct_uncert,magnetic_dipole,magnetic_dipole_uncert,electric_quadrupole,electric_quadrupole_uncert,atomic_mass,atomic_mass_uncert,mass_excess,mass_excess_uncert
^{8}_{3}Li5,3,5,Li,2.339,0.044,,,FALSE,0.8399,9e-4,1,B-A,1,,B-,1,,,,,1.6535,2e-5,0.0314,2e-4,8022486.244,0.05,20945.805,0.047
^{9}_{3}Li6,3,6,Li,2.245,0.046,,,FALSE,0.1783,4e-4,3/2,B-,1,,B-N,0.508,0.002,,,,3.43666,6e-5,-0.0304,2e-4,9026790.191,0.2,24954.905,0.186
^{10}_{3}Li7,3,7,Li,,,,,FALSE,,,2,N,1,,,,,,,,,,,,10035483.453,13.656,33052.628,12.721
^{11}_{3}Li8,3,8,Li,2.482,0.043,,,FALSE,0.00875,1.4e-4,5/2,B-,1,,B-N,,,,,,3.6711,2e-4,-0.0333,5e-4,11043723.581,0.66,40728.259,0.615
^{12}_{3}Li9,3,9,Li,,,,,FALSE,,,,N,1,,,,,,,,,,,,12052613.942,32.213,49009.577,30.006
^{6}_{4}Be2,4,2,Be,,,,,FALSE,4.95910559860202e-21,3.2341993034361e-22,1,A,1,,2P,1,,,,,,,,,6019726.409,5.848,18375.034,5.448
^{7}_{4}Be3,4,3,Be,2.646,0.016,,,FALSE,4598208,5184,1/2,EC,1,,,,,,,,-1.39928,4e-6,,,7016928.714,0.076,15768.998,0.071
^{8}_{4}Be4,4,4,Be,,,,,FALSE,8.190982317260071e-17,3.67638344580793e-18,0,A,1,,,,,,,,,,,,8005305.102,0.037,4941.672,0.035
^{9}_{4}Be5,4,5,Be,2.519,0.012,1,,TRUE,,,1/2,,,,,,,,,,-1.17743,5e-6,0.0529,4e-4,9012183.062,0.082,11348.451,0.076
^{10}_{4}Be6,4,6,Be,2.355,0.017,,,FALSE,47650958221633.9,1262277038983.68,1,B-,1,,,,,,,,,,,,10013534.692,0.086,12607.487,0.081
^{11}_{4}Be7,4,7,Be,2.463,0.015,,,FALSE,13.76,0.07,3/2,B-,1,,B-A,0.031,,B-P,8.3e-6,,-1.6816,8e-4,,,11021661.08,0.255,20177.169,0.238
^{12}_{4}Be8,4,8,Be,,,,,FALSE,0.02146,5e-5,2,B-,1,,B-N,0.005,3e-4,,,,,,,,12026922.082,2.048,25077.761,1.909
^{13}_{4}Be9,4,9,Be,,,,,FALSE,2.7e-21,1.8e-21,,N,,,,,,,,,,,,,13036134.506,10.929,33659.08,10.18
^{14}_{4}Be10,4,10,Be,,,,,FALSE,0.00435,1.7e-4,,B-,1,,B-N,0.81,0.04,B-2N,0.05,0.02,,,,,14042892.92,141.97,39954.502,132.245
^{15}_{4}Be11,4,11,Be,,,,,FALSE,7.86616750123079e-22,2.71247155214855e-22,,N,1,,,,,,,,,,,,15053490.215,177.99,49825.821,165.797
^{16}_{4}Be12,4,12,Be,,,,,FALSE,5.70297143839232e-22,1.42574285959808e-22,,N,1,,,,,,,,,,,,16061672.036,177.99,57447.139,165.797
^{7}_{5}B2,5,2,B,,,,,FALSE,5.69585162386249e-22,1.4221851744975e-23,3/2,P,1,,,,,,,,,,,,7029712,27,27676.553,25.15
^{8}_{5}B3,5,3,B,,,,,FALSE,0.77,0.003,1,EC+B+,1,,B+A,1,,,,,1.0355,3e-4,0.0643,0.0014,8024607.315,1.073,22921.569,1
^{9}_{5}B4,5,4,B,,,,,FALSE,8.448846575396029e-19,3.2856625570984595e-19,1/2,P,1,,,,,,,,,,,,9013329.645,0.969,12416.486,0.903
^{10}_{5}B5,5,5,B,2.4277,0.0499,0.19649999999999998,0.0044,TRUE,,,0,,,,,,,,,,1.8004636,8e-7,0.0846,2e-4,10012936.862,0.016,12050.611,0.015
^{11}_{5}B6,5,6,B,2.406,0.0294,0.8035,0.0044,TRUE,,,1/2,,,,,,,,,,2.688378,1e-6,0.04059,1e-4,11009305.166,0.013,8667.708,0.012
^{12}_{5}B7,5,7,B,,,,,FALSE,0.0202,2e-5,1,B-,1,,B-A,0.006,2e-4,,,,1.003,0.001,0.0132,3e-4,12014352.638,1.418,13369.398,1.321
^{13}_{5}B8,5,8,B,,,,,FALSE,0.01733,1.7e-4,3/2,B-,1,,B-N,0.0028599999999999997,,,,,3.1778,5e-4,0.0365,8e-4,13017779.981,1.073,16561.948,1
^{14}_{5}B9,5,9,B,,,,,FALSE,0.0125,5e-4,2,B-,1,,B-N,0.061,,,,,1.185,0.005,0.0297,8e-4,14025404.01,22.773,23663.686,21.213
^{15}_{5}B10,5,10,B,,,,,FALSE,0.00993,7e-5,,B-,1,,B-N,0.9968,,,,,2.659,0.015,0.0379,0.0011,15031087.023,22.575,28957.379,21.029
^{16}_{5}B11,5,11,B,,,,,FALSE,4.56237715071386e-21,0,,N,1,,,,,,,,,,,,16039841.045,26.373,37111.699,24.566
^{17}_{5}B12,5,12,B,,,,,FALSE,0.00508,5e-5,,B-,1,,B-N,0.63,0.01,B-2N,0.11,0.07,2.55,0.02,0.0385,0.0015,17046931.399,219.114,43716.322,204.104
^{18}_{5}B13,5,13,B,,,,,FALSE,,,,N,1,,,,,,,,,,,,18055601.683,219.18,51792.64,204.165
^{19}_{5}B14,5,14,B,,,,,FALSE,0.00292,1.3e-4,,B-,1,,B-N,0.718,,B-2N,0.16,,,,,,19064166,564,59770.251,525.363
^{20}_{5}B15,5,15,B,,,,,FALSE,9.12475430142772e-22,0,,N,1,,,,,,,,,,,,20074505.644,586.538,69401.569,546.357
^{21}_{5}B16,5,16,B,,,,,FALSE,7.60396191785643e-22,0,,2N,1,,,,,,,,,,,,21084147.485,599.75,78382.887,558.664
^{8}_{6}C2,6,2,C,,,,,FALSE,3.50952088516451e-21,1.34981572506327e-21,2,2P,1,,,,,,,,,,,,8037643.039,19.584,35064.269,18.243
^{9}_{6}C3,6,3,C,,,,,FALSE,0.1265,0.001,3/2,EC+B+,1,,B+P,0.62,0.019,B+A,0.379,0.057999999999999996,1.3914,5e-4,,,9031037.202,2.293,28910.971,2.137
^{10}_{6}C4,6,4,C,,,,,FALSE,19.29,0.012,1,EC+B+,1,,,,,,,,,,,,10016853.217,0.075,15698.673,0.07
^{11}_{6}C5,6,5,C,,,,,FALSE,1221.84,0.84,1/2,EC+B+,1,,,,,,,,-0.964,0.001,0.0333,2e-4,11011432.597,0.064,10649.397,0.06
^{12}_{6}C6,6,6,C,2.4702,0.0022,0.9894,6e-4,TRUE,,,0,,,,,,,,,,,,0.06,0.03,12000000,0,0,0
^{13}_{6}C7,6,7,C,2.4614,0.0034,0.0106,6e-4,TRUE,,,1/2,,,,,,,,,,0.702369,4e-6,,,13003354.83534,2.5e-4,3125.00933,2.3e-4
^{14}_{6}C8,6,8,C,2.5025,0.0087,,,FALSE,179874478055.174,946707779.23776,1,B-,1,,,,,,,,,,,,14003241.98862,0.00403,3019.89328,0.00375
^{15}_{6}C9,6,9,C,,,,,FALSE,2.449,0.005,3/2,B-,1,,,,,,,,1.72,0.009,,,15010599.256,0.858,9873.145,0.8
^{16}_{6}C10,6,10,C,,,,,FALSE,0.747,0.008,2,B-,1,,B-N,0.99,0.003,,,,,,,,16014701.255,3.84,13694.133,3.578
^{17}_{6}C11,6,11,C,,,,,FALSE,0.193,0.006,,B-,1,,B-N,0.26,0.018000000000000002,,,,0.758,0.004,,,17022578.65,18.641,21031.88,17.365
^{18}_{6}C12,6,12,C,,,,,FALSE,0.092,0.002,3,B-,1,,B-N,0.315,0.015,,,,,,,,18026751.93,32.206,24919.266,30
^{19}_{6}C13,6,13,C,,,,,FALSE,0.0463,0.004,,B-,1,,B-N,0.47,0.03,B-2N,0.07,0.03,,,,,19034797.594,105.625,32413.754,98.389
^{20}_{6}C14,6,14,C,,,,,FALSE,0.0163,0.00375,,B-,1,,B-N,0.65,0.18,B-2N,0.18600000000000003,,,,,,20040261.732,247.585,37503.567,230.625
^{22}_{6}C16,6,16,C,,,,,FALSE,0.0061,0.0013,,B-,1,,B-N,0.61,,B-2N,0.37,,,,,,22057553.99,248.515,53611.203,231.49
^{10}_{7}N3,7,3,N,,,,,FALSE,1.82495086028554e-22,1.27746560219988e-22,2,P,1,,,,,,,,,,,,10041653.54,429.417,38800.027,400
^{11}_{7}N4,7,4,N,,,,,FALSE,5.49683994061911e-22,1.9868096170912398e-23,3/2,P,1,,,,,,,,,,,,11026157.593,5.368,24365.644,5
^{12}_{7}N5,7,5,N,,,,,FALSE,0.011,1.6e-5,1,EC+B+,1,,B+A,0.019299999999999998,4e-4,,,,0.4571,1e-4,0.01,9e-4,12018613.18,1.073,17338.068,1
^{13}_{7}N6,7,6,N,,,,,FALSE,597.9,0.24,1/2,EC+B+,1,,,,,,,,0.3219,4e-4,,,13005738.609,0.289,5345.481,0.27
^{14}_{7}N7,7,7,N,2.5582,0.007,0.9962050000000001,2.47e-4,TRUE,,,0,,,,,,,,,,0.403573,2e-6,0.02044,3e-5,14003074.00425,2.4e-4,2863.41683,2.2e-4
^{15}_{7}N8,7,8,N,2.6058,0.008,0.003795,2.47e-4,TRUE,,,1/2,,,,,,,,,,-0.2830569,1.4e-6,,,15000108.89827,6.2e-4,101.43809,5.8e-4
^{16}_{7}N9,7,9,N,,,,,FALSE,7.13,0.02,1,B-,1,,B-A,1.1999999999999999e-5,5e-6,,,,1.9856,0.0011,-0.018,0.002,16006101.925,2.47,5683.907,2.301
^{17}_{7}N10,7,10,N,,,,,FALSE,4.173,0.004,3/2,B-,1,,B-N,0.951,0.006999999999999999,B-A,2.5e-5,,0.3552,4e-4,,,17008448.876,16.103,7870.079,15
^{18}_{7}N11,7,11,N,,,,,FALSE,0.619,0.002,2,B-,1,,B-A,0.122,0.006,B-N,0.12,0.013000000000000001,0.3274,4e-4,0.0123,0.0012,18014077.563,19.935,13113.167,18.57
^{19}_{7}N12,7,12,N,,,,,FALSE,0.336,0.003,,B-,1,,B-N,0.418,0.009000000000000001,,,,0.305,0.015,,,19017022.389,17.61,15856.255,16.404
^{20}_{7}N13,7,13,N,,,,,FALSE,0.1344,0.0037,,B-,1,,B-N,0.429,0.013999999999999999,,,,,,,,20023367.295,84.696,21766.498,78.894
^{21}_{7}N14,7,14,N,,,,,FALSE,0.084,0.007,,B-,1,,B-N,0.86,0.04,,,,,,,,21027087.573,143.906,25231.915,134.048
^{22}_{7}N15,7,15,N,,,,,FALSE,0.023,0.003,,B-,1,,B-N,0.34,0.03,B-2N,0.12,0.03,,,,,22034100.918,223.06,31764.805,207.779
^{23}_{7}N16,7,16,N,,,,,FALSE,0.0141,0.00125,,B-,1,,B-N,0.42,0.06,B-2N,0.08,0.04,,,,,23039421,451.5,36720.429,420.57
^{24}_{7}N17,7,17,N,,,,,FALSE,5.2e-8,,,N,,,,,,,,,,,,,24050390,430,46938,401
^{11}_{8}O3,8,3,O,,,,,FALSE,3.50952088516451e-22,0,,2P,1,,,,,,,,,,,,11051249.828,64.453,47738.913,60.038
^{12}_{8}O4,8,4,O,,,,,FALSE,6.33663493154702e-21,0,2,2P,1,,,,,,,,,,,,12034367.726,12.882,32013.335,12
^{13}_{8}O5,8,5,O,,,,,FALSE,0.00858,5e-5,3/2,B+P,1,,EC+B+,1,,,,,1.3892,3e-4,0.0111,8e-4,13024815.435,10.226,23115.432,9.526
^{14}_{8}O6,8,6,O,,,,,FALSE,70.606,0.018,1,EC+B+,1,,,,,,,,,,,,14008596.706,0.027,8007.781,0.025
^{15}_{8}O7,8,7,O,,,,,FALSE,122.24,0.16,1/2,EC+B+,1,,,,,,,,0.71908,1.2e-4,,,15003065.636,0.526,2855.622,0.49
^{16}_{8}O8,8,8,O,2.6991,0.0052,0.9975700000000001,1.0999999999999999e-4,TRUE,,,0,,,,,,,,,,1.668,0.012,,,15994914.61926,3.2e-4,-4737.00217,3e-4
^{17}_{8}O9,8,9,O,2.6932,0.0075,3.835e-4,9.6e-6,TRUE,,,1/2,,,,,,,,,,-1.893543,1e-5,-0.0256,2e-4,16999131.75595,6.9e-4,-808.76421,6.4e-4
^{18}_{8}O10,8,10,O,2.7726,0.0056,0.002045,1.0200000000000001e-4,TRUE,,,1,,,,,,,,,,,,,,17999159.61214,6.9e-4,-782.81634,6.4e-4
^{19}_{8}O11,8,11,O,,,,,FALSE,26.88,0.05,3/2,B-,1,,,,,,,,1.53238,7e-5,0.00362,1.3e-4,19003577.969,2.83,3332.858,2.637
^{20}_{8}O12,8,12,O,,,,,FALSE,13.51,0.05,2,B-,1,,,,,,,,0.7,0.03,,,20004075.357,0.95,3796.172,0.885
^{21}_{8}O13,8,13,O,,,,,FALSE,3.42,0.1,,B-,1,,,,,,,,,,,,21008654.948,12.882,8062.034,12
^{22}_{8}O14,8,14,O,,,,,FALSE,2.25,0.09,,B-,1,,B-N,0.22,,,,,,,,,22009965.744,61.107,9283.032,56.921
^{23}_{8}O15,8,15,O,,,,,FALSE,0.097,0.008,,B-,1,,B-N,0.07,0.02,,,,,,,,23015696.686,130.663,14621.371,121.712
^{24}_{8}O16,8,16,O,,,,,FALSE,0.072,0.005,,B-,1,,B-N,0.42,0.05,,,,,,,,24019861,177,18500.404,164.874
^{25}_{8}O17,8,17,O,,,,,FALSE,,,,N,1,,,,,,,,,,,,25029338.919,177.225,27329.03,165.084
^{26}_{8}O18,8,18,O,,,,,FALSE,4.5e-12,3.3e-12,,2N,1,,,,,,,,,,,,26037210.155,177.081,34661.041,164.95
^{13}_{9}F4,9,4,F,,,,,FALSE,4.5172050997166895e-22,1.2075696801222798e-22,,,,,,,,,,,,,,,13045121,537,42030,500
^{14}_{9}F5,9,5,F,,,,,FALSE,5.01360126452072e-22,5.509451939033759e-23,,,,,,,,,,,,,,,14034315.196,44.142,31964.403,41.119
^{15}_{9}F6,9,6,F,,,,,FALSE,6.91269265259675e-22,2.09475534927174e-23,,P,1,,,,,,,,,,,,15017785.139,15.029,16566.752,14
^{16}_{9}F7,9,7,F,,,,,FALSE,1.1405942876784599e-20,5.7029714383923205e-21,1,P,1,,,,,,,,,,,,16011460.278,5.758,10675.182,5.364
^{17}_{9}F8,9,8,F,,,,,FALSE,64.49,0.16,1/2,EC+B+,1,,,,,,,,4.7213,3e-4,0.076,0.004,17002095.237,0.266,1951.701,0.248
^{18}_{9}F9,9,9,F,,,,,FALSE,6586.2,3,0,EC+B+,1,,,,,,,,2.68,0.03,0.071,0.006,18000937.324,0.497,873.112,0.463
^{19}_{9}F10,9,10,F,2.8976,0.0025,1,,TRUE,,,1/2,,,,,,,,,,2.628321,4e-6,-0.0942,9e-4,18998403.16207,8.8e-4,-1487.44512,8.2e-4
^{20}_{9}F11,9,11,F,,,,,FALSE,11.07,0.06,1,B-,1,,,,,,,,2.09335,9e-5,0.056,0.004,19999981.252,0.031,-17.463,0.03
^{21}_{9}F12,9,12,F,,,,,FALSE,4.158,0.02,,B-,1,,,,,,,,3.9194,0.0012,0.011,0.002,20999948.893,1.932,-47.605,1.8
^{22}_{9}F13,9,13,F,,,,,FALSE,4.23,0.04,,B-,1,,B-N,0.11,,,,,2.6944,4e-4,0.003,0.002,22002998.812,13.31,2793.376,12.399
^{23}_{9}F14,9,14,F,,,,,FALSE,2.23,0.14,,B-,1,,B-N,0.14,,,,,,,,,23003526.875,35.77,3285.263,33.32
^{24}_{9}F15,9,15,F,,,,,FALSE,0.382,0.016,,B-,1,,B-N,0.059000000000000004,,,,,,,,,24008099.37,104.853,7544.516,97.67
^{25}_{9}F16,9,16,F,,,,,FALSE,0.08,0.009,,B-,1,,B-N,0.231,0.045,,,,,,,,25012167.727,103.535,11334.167,96.442
^{26}_{9}F17,9,17,F,,,,,FALSE,0.0082,9e-4,,B-,1,,B-N,0.135,0.04,,,,,,,,26020048.065,114.898,18674.655,107.027
^{27}_{9}F18,9,18,F,,,,,FALSE,0.005,2e-4,,B-,1,,B-N,0.77,0.21,,,,,,,,27026981.897,129.037,25133.478,120.198
^{28}_{9}F19,9,19,F,,,,,FALSE,4.6e-20,,,N,1,,,,,,,,,,,,28035860.448,129.198,33403.796,120.347
^{29}_{9}F20,9,20,F,,,,,FALSE,0.0025,3e-4,,B-,1,,B-N,1,0.8,,,,,,,,29043103,564,40150.19,525.363
^{30}_{9}F21,9,21,F,,,,,FALSE,,,,N,,,,,,,,,,,,,30052561,537,48960,500
^{31}_{9}F22,9,22,F,,,,,FALSE,,,,B-,1,,B-2N,,,B-7N,,,,,,,31061023,574,56843,535
^{15}_{10}Ne5,10,5,Ne,,,,,FALSE,7.73284262832857e-22,0,,2P,1,,,,,,,,,,,,15043172.977,71.588,40215.374,66.684
^{16}_{10}Ne6,10,6,Ne,,,,,FALSE,5.7029714383923205e-21,0,,2P,1,,,,,,,,,,,,16025750.86,21.986,23986.775,20.48
^{17}_{10}Ne7,10,7,Ne,3.0413,0.0088,,,FALSE,0.1092,6e-4,3/2,EC+B+,1,,ECP,0.9520000000000001,0.046,ECA,0.0277,0.0019,0.7873,0.0014,,,17017713.962,0.38,16500.452,0.354
^{18}_{10}Ne8,10,8,Ne,2.9714,0.0076,,,FALSE,1.672,0.008,1,EC+B+,1,,,,,,,,,,,,18005708.696,0.39,5317.617,0.363
^{19}_{10}Ne9,10,9,Ne,3.0082,0.004,,,FALSE,17.22,0.02,1/2,EC+B+,1,,,,,,,,-1.88515,7e-5,,,19001880.906,0.171,1752.054,0.16
^{20}_{10}Ne10,10,10,Ne,3.0055,0.0021,0.9048,3e-4,TRUE,,,0,,,,,,,,,,1.08,0.08,-0.23,0.03,19992440.17525,0.00165,-7041.93217,0.00154
^{21}_{10}Ne11,10,11,Ne,2.9695,0.0033,0.0027,1e-4,TRUE,,,,,,,,,,,,,-0.6617,3e-5,0.1016,8e-4,20993846.685,0.041,-5731.776,0.038
^{22}_{10}Ne12,10,12,Ne,2.9525,0.004,0.0925,3e-4,TRUE,,,,,,,,,,,,,0.65,0.02,-0.215,0.012,21991385.113,0.018,-8024.716,0.018
^{23}_{10}Ne13,10,13,Ne,2.9104,0.0071,,,FALSE,37.25,0.1,,B-,1,,,,,,,,-1.0794,0.001,0.145,0.013,22994466.905,0.112,-5154.045,0.104
^{24}_{10}Ne14,10,14,Ne,2.9007,0.0078,,,FALSE,202.8,1.2,2,B-,1,,,,,,,,,,,,23993610.649,0.55,-5951.642,0.513
^{25}_{10}Ne15,10,15,Ne,2.9316,0.0088,,,FALSE,0.602,0.008,,B-,1,,,,,,,,-1.006,5e-4,,,24997814.797,31.181,-2035.503,29.045
^{26}_{10}Ne16,10,16,Ne,2.9251,0.01,,,FALSE,0.197,0.002,,B-,1,,B-N,0.0013,3e-4,,,,,,,,26000516.496,19.784,481.114,18.429
^{27}_{10}Ne17,10,17,Ne,,,,,FALSE,0.0315,0.0013,,B-,1,,B-N,0.02,0.005,,,,,,,,27007569.462,97.445,7050.91,90.77
^{28}_{10}Ne18,10,18,Ne,2.9642,0.0134,,,FALSE,0.02,0.001,,B-,1,,B-N,0.12,0.01,B-2N,0.037000000000000005,0.005,,,,,28012130.767,135.339,11299.738,126.068
^{29}_{10}Ne19,10,19,Ne,,,,,FALSE,0.015,0.003,,B-,1,,B-N,0.28,0.05,B-2N,0.04,0.01,,,,,29019753,160.5,18399.803,149.505
^{30}_{10}Ne20,10,20,Ne,,,,,FALSE,0.0073,3e-4,,B-,1,,B-N,0.13,0.04,B-2N,0.08900000000000001,0.023,,,,,30024992.235,271.875,23280.12,253.25
^{31}_{10}Ne21,10,21,Ne,,,,,FALSE,0.0034,8e-4,,B-,1,,B-2N,,,B-3N,,,,,,,31033474.816,285.772,31181.594,266.195
^{32}_{10}Ne22,10,22,Ne,,,,,FALSE,0.0035,9e-4,,B-,1,,B-N,,,,,,,,,,32039720,540,36999,503
^{33}_{10}Ne23,10,23,Ne,,,,,FALSE,1.8e-7,,,N,,,,,,,,,,,,,33049523,644,46130,600
^{34}_{10}Ne24,10,24,Ne,,,,,FALSE,6e-8,,,B-,,,B-N,,,B-2N,,,,,,,34056728,551,52842,513
^{17}_{11}Na6,11,6,Na,,,,,FALSE,,,3/2,,,,,,,,,,,,,,17037273,64,34719.58,59.616
^{18}_{11}Na7,11,7,Na,,,,,FALSE,2.28118857535693e-21,0,,P,1,,,,,,,,,,,,18026879.388,100.785,25037.992,93.881
^{19}_{11}Na8,11,8,Na,,,,,FALSE,1.1405942876784599e-20,0,,P,1,,,,,,,,,,,,19013880.264,11.309,12929.384,10.535
^{20}_{11}Na9,11,9,Na,2.9718,0.042,,,FALSE,0.4479,0.0023,1,EC,1,,ECA,0.2005,0.002,,,,0.3694,2e-4,0.101,0.008,20007354.301,1.19,6850.489,1.109
^{21}_{11}Na10,11,10,Na,3.0136,0.0284,,,FALSE,22.49,0.04,,EC+B+,1,,,,,,,,2.3861,4e-5,0.138,0.011,20997654.459,0.045,-2184.857,0.042
^{22}_{11}Na11,11,11,Na,2.9852,0.0169,,,FALSE,82104810.0006935,69425.2371441024,,EC+B+,1,,,,,,,,1.746,0.003,0.18,0.011,21994437.547,0.141,-5181.391,0.132
^{23}_{11}Na12,11,12,Na,2.9936,0.0021,1,,TRUE,,,,,,,,,,,,,2.2175,3e-5,0.104,0.001,22989769.28195,0.00194,-9529.85352,0.00181
^{24}_{11}Na13,11,13,Na,2.9735,0.0169,,,FALSE,53841.6,10.8,,B-,1,,,,,,,,1.6903,8e-4,,,23990963.012,0.017,-8417.901,0.017
^{25}_{11}Na14,11,14,Na,2.9769,0.0252,,,FALSE,59.1,0.6,,B-,1,,,,,,,,3.683,0.004,0.0015,3e-4,24989953.974,1.288,-9357.814,1.2
^{26}_{11}Na15,11,15,Na,2.9928,0.0331,,,FALSE,1.07128,2.5e-4,,B-,1,,,,,,,,2.851,0.002,-0.0053,2e-4,25992634.649,3.759,-6860.78,3.502
^{27}_{11}Na16,11,16,Na,3.0136,0.0467,,,FALSE,0.301,0.006,,B-,1,,B-N,0.0013,4e-4,,,,3.895,0.005,-0.0071,3e-4,26994076.408,4,-5517.791,3.726
^{28}_{11}Na17,11,17,Na,3.04,0.0581,,,FALSE,0.0305,4e-4,,B-,1,,B-N,0.0058,0.0012,,,,2.426,0.003,0.389,0.011,27998939,11,-988.315,10.246
^{29}_{11}Na18,11,18,Na,3.0922,0.0723,,,FALSE,0.0441,9e-4,,B-,1,,B-N,0.215,0.03,,,,2.449,0.008,0.085,0.003,29002877.091,7.876,2679.994,7.337
^{30}_{11}Na19,11,19,Na,3.118,0.0884,,,FALSE,0.048,0.002,,B-,1,,B-N,0.3,0.04,B-2N,0.0115,0.0025,2.083,0.01,,,30009097.931,5.074,8474.67,4.727
^{31}_{11}Na20,11,20,Na,3.1704,0.0893,,,FALSE,0.017,4e-4,,B-,1,,B-N,0.39,0.05,B-2N,0.006999999999999999,0.001,2.305,0.008,,,31013146.654,15,12246.031,13.972
^{32}_{11}Na21,11,21,Na,,,,,FALSE,0.0132,4e-4,,B-,1,,B-N,0.24,0.07,B-2N,0.083,0.021,,,,,32020011.024,40,18640.152,37.26
^{33}_{11}Na22,11,22,Na,,,,,FALSE,0.008,4e-4,,B-,1,,B-N,0.47,0.06,B-2N,0.13,0.03,,,,,33025529,483,23780.113,449.912
^{34}_{11}Na23,11,23,Na,,,,,FALSE,0.0055,0.001,,B-,1,,B-2N,0.5,,B-N,0.15,,,,,,34034010,643.5,31680.114,599.416
^{35}_{11}Na24,11,24,Na,,,,,FALSE,0.0018,5e-4,,B-,1,,B-N,0,,B-5N,,,,,,,35040614,720,37831,670
^{36}_{11}Na25,11,25,Na,,,,,FALSE,1.8e-7,,,N,,,,,,,,,,,,,36049279,737,45903,687
^{37}_{11}Na26,11,26,Na,,,,,FALSE,6e-8,,,B-,,,B-N,,,,,,,,,,37057042,737,53134,687
^{18}_{12}Mg6,12,6,Mg,,,,,FALSE,3.80198095892821e-21,3.16831746577351e-21,,2P,1,,,,,,,,,,,,,,,
