name,website,status,csd_type,census_div,latitude,longitude,land_area_km2,population_1996,population_2001,population_2006,population_2011,population_2016,population_2021,density_1996,density_2001,density_2006,density_2011,density_2016,density_2021,pop_change_1996_2001_pct,pop_change_2001_2006_pct,pop_change_2006_2011_pct,pop_change_2011_2016_pct,pop_change_2016_2021_pct
Brooke-Alvinston,http://brookealvinston.com,lower-tier,municipality,Lambton,42.85,-81.916667,311.41,2894,2785,2661,2548,2411,2359,9.29,8.94,8.55,8.18,7.74,7.58,-0.0377,-0.0445,-0.0425,-0.0538,-0.0216
Bruce Mines,http://www.brucemines.ca,single-tier,town,Algoma,46.283333,-83.783333,6.09,653,627,584,566,582,582,107.22,102.96,95.89,92.94,95.57,95.57,-0.0398,-0.0686,-0.0308,0.0283,0
"Brudenell, Lyndoch and Raglan",https://blrtownship.ca,lower-tier,township,Renfrew,45.316667,-77.4,701.29,1611,1565,1497,1658,1503,1552,2.3,2.23,2.13,2.36,2.14,2.21,-0.0286,-0.0435,0.1075,-0.0935,0.0326
Burk's Falls,https://www.burksfalls.net,single-tier,village,Parry Sound,45.616667,-79.4,3.09,986,940,893,967,981,957,319.09,304.21,289,312.94,317.48,309.71,-0.0467,-0.05,0.0829,0.0145,-0.0245
Burlington,https://www.burlington.ca,lower-tier,city,Halton,43.37,-79.814167,186.12,136976,150836,164415,175779,183314,186948,735.96,810.42,883.38,944.44,984.92,1004.45,0.1012,0.09,0.0691,0.0429,0.0198
Burpee and Mills,https://www.burpeemills.com,single-tier,township,Manitoulin,45.783333,-82.566667,217.33,368,362,329,308,343,382,1.69,1.67,1.51,1.42,1.58,1.76,-0.0163,-0.0912,-0.0638,0.1136,0.1137
Caledon,https://www.caledon.ca,lower-tier,town,Peel,43.866667,-79.866667,688.82,39893,50595,57050,59460,66502,76581,57.91,73.45,82.82,86.32,96.54,111.18,0.2683,0.1276,0.0422,0.1184,0.1516
Callander,https://www.mycallander.ca,single-tier,municipality,Parry Sound,46.216667,-79.366667,102.98,,,3249,3864,3863,3964,,,31.55,37.52,37.51,38.49,,,0.1893,-3e-4,0.0261
Calvin,https://calvintownship.ca,single-tier,municipality,Nipissing,46.233333,-78.933333,140.13,562,603,608,568,516,557,4.01,4.3,4.34,4.05,3.68,3.97,0.073,0.0083,-0.0658,-0.0915,0.0795
Cambridge,https://www.cambridge.ca,lower-tier,city,Waterloo,43.397222,-80.311389,112.99,101429,110372,120371,126748,129920,138479,897.68,976.83,1065.32,1121.76,1149.84,1225.59,0.0882,0.0906,0.053,0.025,0.0659
Carleton Place,https://carletonplace.ca,lower-tier,town,Lanark,45.133333,-76.133333,9.94,8450,9083,9453,9809,10644,12517,850.1,913.78,951.01,986.82,1070.82,1259.26,0.0749,0.0407,0.0377,0.0851,0.176
Carling,https://carling.ca,single-tier,township,Parry Sound,45.433333,-80.216667,244.32,952,1063,1123,1248,1125,1491,3.9,4.35,4.6,5.11,4.6,6.1,0.1166,0.0564,0.1113,-0.0986,0.3253
Carlow/Mayo,https://carlowmayo.ca,lower-tier,township,Hastings,45.133333,-77.616667,385.32,891,833,950,892,864,953,2.31,2.16,2.47,2.31,2.24,2.47,-0.0651,0.1405,-0.0611,-0.0314,0.103
Casey,http://casey.ca,single-tier,township,Timiskaming,47.625,-79.5667,80.8,421,421,385,374,368,341,5.21,5.21,4.76,4.63,4.55,4.22,0,-0.0855,-0.0286,-0.016,-0.0734
Casselman,https://www.casselman.ca,lower-tier,village,Prescott and Russell,45.3,-75.083333,5.13,2877,2910,3275,3626,3548,3960,560.82,567.25,638.4,706.82,691.62,771.93,0.0115,0.1254,0.1072,-0.0215,0.1161
Cavan Monaghan,https://www.cavanmonaghan.net,lower-tier,township,Peterborough,44.2,-78.466667,306.39,8252,8453,8828,8601,8829,10016,26.93,27.59,28.81,28.07,28.82,32.69,0.0244,0.0444,-0.0257,0.0265,0.1344
Central Elgin,https://www.centralelgin.org,lower-tier,municipality,Elgin,42.766667,-81.1,279.87,12156,12360,12723,12743,12607,13746,43.43,44.16,45.46,45.53,45.05,49.12,0.0168,0.0294,0.0016,-0.0107,0.0903
Central Frontenac,https://www.centralfrontenac.com,lower-tier,township,Frontenac,44.7167,-76.8,991.41,4615,4557,4665,4556,4373,4892,4.65,4.6,4.71,4.6,4.41,4.93,-0.0126,0.0237,-0.0234,-0.0402,0.1187
Central Huron,https://www.centralhuron.ca,lower-tier,municipality,Huron,43.63,-81.57,449.43,7862,7806,7641,7586,7576,7799,17.49,17.37,17,16.88,16.86,17.35,-0.0071,-0.0211,-0.0072,-0.0013,0.0294
Central Manitoulin,https://www.centralmanitoulin.ca,single-tier,municipality,Manitoulin,45.716667,-82.2,427.61,1794,1907,1944,1958,2084,2235,4.2,4.46,4.55,4.58,4.87,5.23,0.063,0.0194,0.0072,0.0644,0.0725
Centre Hastings,https://www.centrehastings.com,lower-tier,municipality,Hastings,44.4167,-77.4417,222.79,4103,4226,4386,4574,4774,4801,18.42,18.97,19.69,20.53,21.43,21.55,0.03,0.0379,0.0429,0.0437,0.0057
Centre Wellington,https://www.centrewellington.ca,lower-tier,township,Wellington,43.7,-80.366667,409.41,21786,24260,26049,26693,28191,31093,53.21,59.26,63.63,65.2,68.86,75.95,0.1136,0.0737,0.0247,0.0561,0.1029
Chamberlain,http://www.chamberlaintownship.com,single-tier,township,Timiskaming,47.8833,-79.9333,110.81,361,348,322,297,332,311,3.26,3.14,2.91,2.68,3,2.81,-0.036,-0.0747,-0.0776,0.1178,-0.0633
Champlain,https://www.champlain.ca,lower-tier,township,Prescott and Russell,45.533333,-74.65,207.02,8375,8591,8683,8573,8706,8665,40.46,41.5,41.94,41.41,42.05,41.86,0.0258,0.0107,-0.0127,0.0155,-0.0047
Chapleau,https://chapleau.ca,single-tier,township,Sudbury,47.843889,-83.400278,13.2,2934,2832,2354,2116,1964,1942,222.27,214.55,178.33,160.3,148.79,147.12,-0.0348,-0.1688,-0.1011,-0.0718,-0.0112
Chapple,https://chapple.on.ca,single-tier,township,Rainy River,48.7425,-93.994722,558.15,909,910,856,741,643,763,1.63,1.63,1.53,1.33,1.15,1.37,0.0011,-0.0593,-0.1343,-0.1323,0.1866
Charlton and Dack,http://www.charltonanddack.com,single-tier,municipality,Timiskaming,47.8083,-80,92.74,775,702,613,671,686,686,8.36,7.57,6.61,7.24,7.4,7.4,-0.0942,-0.1268,0.0946,0.0224,0
Chatham-Kent,https://www.chatham-kent.ca,single-tier,municipality,Chatham-Kent,42.4,-82.183333,2451.9,109350,107341,108177,103671,101647,103988,44.6,43.78,44.12,42.28,41.46,42.41,-0.0184,0.0078,-0.0417,-0.0195,0.023
Chatsworth,https://chatsworth.ca,lower-tier,township,Grey,44.3817,-80.8883,594.44,6278,6280,6392,6437,6630,7080,10.56,10.56,10.75,10.83,11.15,11.91,3e-4,0.0178,0.007,0.03,0.0679
Chisholm,https://chisholm.ca,single-tier,township,Nipissing,46.1,-79.233333,205.77,1197,1230,1318,1263,1291,1312,5.82,5.98,6.41,6.14,6.27,6.38,0.0276,0.0715,-0.0417,0.0222,0.0163
Clarence-Rockland,https://www.clarence-rockland.com,lower-tier,city,Prescott and Russell,45.4881,-75.215,297.47,18633,19612,20790,23185,24512,26505,62.64,65.93,69.89,77.94,82.4,89.1,0.0525,0.0601,0.1152,0.0572,0.0813
Clarington,https://www.clarington.net,lower-tier,municipality,Durham,43.994722,-78.675,610.84,60615,69834,77820,84548,92013,101427,99.23,114.32,127.4,138.41,150.63,166.05,0.1521,0.1144,0.0865,0.0883,0.1023
Clearview,https://www.clearview.ca,lower-tier,township,Simcoe,44.398056,-80.074167,556.37,12407,13796,14088,13734,14151,14814,22.3,24.8,25.32,24.69,25.43,26.63,0.112,0.0212,-0.0251,0.0304,0.0469
Cobalt,https://cobalt.ca,single-tier,town,Timiskaming,47.4,-79.683333,2.07,1401,1229,1224,1133,1128,989,676.81,593.72,591.3,547.34,544.93,477.78,-0.1228,-0.0041,-0.0743,-0.0044,-0.1232
Cobourg,https://www.cobourg.ca,lower-tier,town,Northumberland,43.966667,-78.166667,22.41,16185,17172,18210,18519,19440,20519,722.22,766.27,812.58,826.37,867.47,915.62,0.061,0.0604,0.017,0.0497,0.0555
Cochrane,https://cochraneontario.com,single-tier,town,Cochrane,49.070556,-81.020556,537.9,5535,5690,5487,5340,5321,5390,10.29,10.58,10.2,9.93,9.89,10.02,0.028,-0.0357,-0.0268,-0.0036,0.013
Cockburn Island,https://cockburnisland.ca,single-tier,township,Manitoulin,45.920556,-83.373611,168.9,2,0,10,0,0,16,0.01,0,0.06,0,0,0.09,,,,,
Coleman,https://www.colemantownship.ca,single-tier,township,Timiskaming,47.3675,-79.7594,177.95,499,550,540,597,595,517,2.8,3.09,3.03,3.35,3.34,2.91,0.1022,-0.0182,0.1056,-0.0034,-0.1311
Collingwood,https://www.collingwood.ca,lower-tier,town,Simcoe,44.5,-80.216667,33.15,15596,16039,17290,19241,21793,24811,470.47,483.83,521.57,580.42,657.41,748.45,0.0284,0.078,0.1128,0.1326,0.1385
Conmee,https://conmee.com,single-tier,township,Thunder Bay,48.466667,-89.666667,167.65,729,748,740,764,819,798,4.35,4.46,4.41,4.56,4.89,4.76,0.0261,-0.0107,0.0324,0.072,-0.0256
Cornwall,https://www.cornwall.ca,single-tier,city,"Stormont, Dundas and Glengarry",45.0275,-74.74,61.5,47403,45640,45965,46340,46589,47845,770.78,742.11,747.4,753.5,757.54,777.97,-0.0372,0.0071,0.0082,0.0054,0.027
Cramahe,https://www.visitcramahe.ca,lower-tier,township,Northumberland,44.083333,-77.883333,202.22,5474,5713,5950,6073,6355,6509,27.07,28.25,29.42,30.03,31.43,32.19,0.0437,0.0415,0.0207,0.0464,0.0242
Dawn-Euphemia,https://dawneuphemia.ca,lower-tier,township,Lambton,42.7,-82.016667,445.14,2577,2396,2190,2049,1967,1968,5.79,5.38,4.92,4.6,4.42,4.42,-0.0702,-0.086,-0.0644,-0.04,5e-4
Dawson,,single-tier,township,Rainy River,48.75,-94.483333,343.42,631,613,620,563,468,399,1.84,1.78,1.81,1.64,1.36,1.16,-0.0285,0.0114,-0.0919,-0.1687,-0.1474
Deep River,http://www.deepriver.ca,lower-tier,town,Renfrew,46.1,-77.491667,50.27,4491,4135,4216,4193,4109,4175,89.34,82.26,83.87,83.41,81.74,83.05,-0.0793,0.0196,-0.0055,-0.02,0.0161
Deseronto,https://www.deseronto.ca,lower-tier,town,Hastings,44.2,-77.05,2.52,1811,1796,1824,1835,1774,1747,718.65,712.7,723.81,728.17,703.97,693.25,-0.0083,0.0156,0.006,-0.0332,-0.0152
Dorion,https://doriontownship.ca,single-tier,township,Thunder Bay,48.783333,-88.6,211.25,472,442,379,338,316,375,2.23,2.09,1.79,1.6,1.5,1.78,-0.0636,-0.1425,-0.1082,-0.0651,0.1867
Douro-Dummer,https://www.dourodummer.ca,lower-tier,township,Peterborough,44.45,-78.1,459.46,6724,6652,6954,6805,6709,7632,14.63,14.48,15.14,14.81,14.6,16.61,-0.0107,0.0454,-0.0214,-0.0141,0.1376
Drummond/North Elmsley,https://www.dnetownship.ca,lower-tier,township,Lanark,44.966667,-76.2,365.67,6187,6670,7118,7487,7773,8183,16.92,18.24,19.47,20.47,21.26,22.38,0.0781,0.0672,0.0518,0.0382,0.0527
Dryden,https://www.dryden.ca,single-tier,city,Kenora,49.783333,-92.833333,65.58,6711,8198,8195,7617,7749,7388,102.33,125.01,124.96,116.15,118.16,112.66,0.2216,-4e-4,-0.0705,0.0173,-0.0466
Dubreuilville,https://dubreuilville.ca,single-tier,township,Algoma,48.35,-84.55,87.53,990,967,773,635,613,576,11.31,11.05,8.83,7.25,7,6.58,-0.0232,-0.2006,-0.1785,-0.0346,-0.0604
Dutton/Dunwich,https://www.duttondunwich.on.ca,lower-tier,municipality,Elgin,42.666667,-81.5,294.38,3603,3696,3821,3876,3866,4152,12.24,12.56,12.98,13.17,13.13,14.1,0.0258,0.0338,0.0144,-0.0026,0.074
"Dysart, Dudley, Harcourt, Guilford, Harburn, Bruton, Havelock, Eyre and Clyde",https://www.dysartetal.ca,lower-tier,municipality,Haliburton,45.2,-78.416667,1474.22,5380,4924,5526,5966,6280,7182,3.65,3.34,3.75,4.05,4.26,4.87,-0.0848,0.1223,0.0796,0.0526,0.1436
Ear Falls,https://ear-falls.com,single-tier,township,Kenora,50.633333,-93.216667,336.69,1170,1150,1153,1026,995,924,3.48,3.42,3.42,3.05,2.96,2.74,-0.0171,0.0026,-0.1101,-0.0302,-0.0714
East Ferris,https://eastferris.ca,single-tier,municipality,Nipissing,46.266667,-79.3,151.94,4139,4291,4228,4766,4862,4946,27.24,28.24,27.83,31.37,32,32.55,0.0367,-0.0147,0.1272,0.0201,0.0173
East Garafraxa,https://www.eastgarafraxa.ca,lower-tier,township,Dufferin,43.85,-80.25,166.5,2084,2214,2389,2595,2579,2794,12.52,13.3,14.35,15.59,15.49,16.78,0.0624,0.079,0.0862,-0.0062,0.0834
East Gwillimbury,https://www.eastgwillimbury.ca,lower-tier,town,York,44.133333,-79.416667,244.91,19770,20555,21069,22473,23991,34637,80.72,83.93,86.03,91.76,97.96,141.43,0.0397,0.025,0.0666,0.0675,0.4437
East Hawkesbury,https://www.easthawkesbury.ca,lower-tier,township,Prescott and Russell,45.5039,-74.5,235.06,3296,3415,3368,3335,3296,3418,14.02,14.53,14.33,14.19,14.02,14.54,0.0361,-0.0138,-0.0098,-0.0117,0.037
East Zorra-Tavistock,https://www.ezt.ca,lower-tier,township,Oxford,43.233333,-80.783333,241.96,7348,7238,7008,6836,7113,7841,30.37,29.91,28.96,28.25,29.4,32.41,-0.015,-0.0318,-0.0245,0.0405,0.1023
Edwardsburgh/Cardinal,https://www.twpec.ca,lower-tier,township,Leeds and Grenville,44.833333,-75.5,309.91,6715,6674,6689,6959,7074,7505,21.67,21.54,21.58,22.45,22.83,24.22,-0.0061,0.0022,0.0404,0.0165,0.0609
Elizabethtown-Kitley,https://ektwp.ca,lower-tier,township,Leeds and Grenville,44.7,-75.883333,555.96,10222,10039,10201,9724,9631,9545,18.39,18.06,18.35,17.49,17.32,17.17,-0.0179,0.0161,-0.0468,-0.0096,-0.0089
Elliot Lake,https://www.elliotlake.ca,single-tier,city,Algoma,46.383333,-82.65,696.06,13588,11956,11549,11348,10741,11372,19.52,17.18,16.59,16.3,15.43,16.34,-0.1201,-0.034,-0.0174,-0.0535,0.0587
Emo,https://emo.ca,single-tier,township,Rainy River,48.633333,-93.833333,202.28,1366,1331,1305,1252,1333,1204,6.75,6.58,6.45,6.19,6.59,5.95,-0.0256,-0.0195,-0.0406,0.0647,-0.0968
Englehart,https://www.englehart.ca,single-tier,town,Timiskaming,47.816667,-79.866667,2.92,1703,1595,1494,1519,1479,1442,583.22,546.23,511.64,520.21,506.51,493.84,-0.0634,-0.0633,0.0167,-0.0263,-0.025
Enniskillen,https://www.enniskillen.ca,lower-tier,township,Lambton,42.816667,-82.125,338.05,3288,3259,3122,2930,2796,2825,9.73,9.64,9.24,8.67,8.27,8.36,-0.0088,-0.042,-0.0615,-0.0457,0.0104
Erin,https://www.erin.ca,lower-tier,town,Wellington,43.766667,-80.066667,298.81,10657,10657,11148,10770,11439,11981,35.66,35.66,37.31,36.04,38.28,40.1,0,0.0461,-0.0339,0.0621,0.0474
Espanola,https://www.espanola.ca,single-tier,town,Sudbury,46.25,-81.766667,81,5454,5449,5314,5364,5048,5185,67.33,67.27,65.6,66.22,62.32,64.01,-9e-4,-0.0248,0.0094,-0.0589,0.0271
Essa,https://www.essatownship.on.ca,lower-tier,township,Simcoe,44.25,-79.783333,279.92,16363,16808,16901,18505,21083,22970,58.46,60.05,60.38,66.11,75.32,82.06,0.0272,0.0055,0.0949,0.1393,0.0895
Essex,https://www.essex.ca,lower-tier,town,Essex,42.083333,-82.9,277.53,19437,20085,20032,19600,20427,21216,70.04,72.37,72.18,70.62,73.6,76.45,0.0333,-0.0026,-0.0216,0.0422,0.0386
Evanturel,https://evanturel.com,single-tier,township,Timiskaming,47.7833,-79.825,89.21,493,506,473,452,449,502,5.53,5.67,5.3,5.07,5.03,5.63,0.0264,-0.0652,-0.0444,-0.0066,0.118
Faraday,https://www.faraday.ca,lower-tier,township,Hastings,45,-77.916667,217.44,1638,1581,1578,1468,1401,1612,7.53,7.27,7.26,6.75,6.44,7.41,-0.0348,-0.0019,-0.0697,-0.0456,0.1506
